"species","ref.date","authority","described"
"Xenicibis xympithecus","Olson, S.L. & Steadman, D.W. (1977) Proceedings of the Biological Society of Washington, 90, 447–457.","Olson & Steadman 1977",1977
"Xenorhynchopsis minor",NA,"De Vis 1905",1905
"Xenorhynchopsis tibialis",NA,"De Vis 1905",1905
"Xestospiza conica","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Xestospiza fastiglialis","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Zapornia keplerorum","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Zapornia menehune","Athens, J.S., et al. (2002) Archaeology in Oceania, 37, 57–78.","Olson & James 1991",1991
"Zapornia ralphorum","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Zapornia rua","Steadman, D.W. (1986) Pacific Science, 40, 17.","Steadman 1986",1986
"Zapornia severnsi","Olson, S.L. & James, H.F. (1991) Ornithological Monographs, 1–88.","Olson & James 1991",1991
"Zapornia ziegleri","Paxinos, E.E., et al. (2002) Proceedings of the National Academy of Sciences, 99, 1399–1404.","Olson & James 1991",1991
